z_m,G_1_per_m3_s
2.800000e-07,-1.542301e+10
2.825210e-07,1.734991e+27
2.850420e-07,1.720013e+27
2.875630e-07,1.685942e+27
2.900840e-07,1.634018e+27
2.926050e-07,1.565840e+27
2.951261e-07,1.483734e+27
2.976471e-07,1.389968e+27
3.001681e-07,1.287261e+27
3.026891e-07,1.178417e+27
3.052101e-07,1.066394e+27
3.077311e-07,9.542830e+26
3.102521e-07,8.450933e+26
3.127731e-07,7.412457e+26
3.152941e-07,6.461077e+26
3.178151e-07,5.617005e+26
3.203361e-07,4.897327e+26
3.228571e-07,4.317216e+26
3.253782e-07,3.899856e+26
3.278992e-07,3.651103e+26
3.304202e-07,3.574655e+26
3.329412e-07,3.673580e+26
3.354622e-07,3.947247e+26
3.379832e-07,4.385955e+26
3.405042e-07,4.973789e+26
3.430252e-07,5.702025e+26
3.455462e-07,6.531560e+26
3.480672e-07,7.459836e+26
3.505882e-07,8.490772e+26
3.531092e-07,9.567998e+26
3.556303e-07,1.067105e+27
3.581513e-07,1.177880e+27
3.606723e-07,1.287090e+27
3.631933e-07,1.394859e+27
3.657143e-07,1.492767e+27
3.682353e-07,1.586437e+27
3.707563e-07,1.667294e+27
3.732773e-07,1.738918e+27
3.757983e-07,1.800719e+27
3.783193e-07,1.844622e+27
3.808403e-07,1.881580e+27
3.833613e-07,1.899551e+27
3.858824e-07,1.908904e+27
3.884034e-07,1.902374e+27
3.909244e-07,1.887483e+27
3.934454e-07,1.858655e+27
3.959664e-07,1.821375e+27
3.984874e-07,1.779767e+27
4.010084e-07,1.727049e+27
4.035294e-07,1.674331e+27
4.060504e-07,1.617245e+27
4.085714e-07,1.559871e+27
4.110924e-07,1.506242e+27
4.136134e-07,1.455151e+27
4.161345e-07,1.404060e+27
4.186555e-07,1.369206e+27
4.211765e-07,1.336209e+27
4.236975e-07,1.309227e+27
4.262185e-07,1.306504e+27
4.287395e-07,1.303782e+27
4.312605e-07,1.317718e+27
4.337815e-07,1.348312e+27
4.363025e-07,1.378906e+27
4.388235e-07,1.433064e+27
4.413445e-07,1.493067e+27
4.438655e-07,1.556365e+27
4.463866e-07,1.648486e+27
4.489076e-07,1.740607e+27
4.514286e-07,1.839765e+27
4.539496e-07,1.949306e+27
4.564706e-07,2.059112e+27
4.589916e-07,2.172917e+27
4.615126e-07,2.286723e+27
4.640336e-07,2.403747e+27
4.665546e-07,2.522025e+27
4.690756e-07,2.637379e+27
4.715966e-07,2.747913e+27
4.741176e-07,2.853493e+27
4.766387e-07,2.949662e+27
4.791597e-07,3.042617e+27
4.816807e-07,3.128491e+27
4.842017e-07,3.210229e+27
4.867227e-07,3.281313e+27
4.892437e-07,3.344616e+27
4.917647e-07,3.400607e+27
4.942857e-07,3.450555e+27
4.968067e-07,3.498506e+27
4.993277e-07,3.538280e+27
5.018487e-07,3.574951e+27
5.043697e-07,3.608053e+27
5.068908e-07,3.642081e+27
5.094118e-07,3.676703e+27
5.119328e-07,3.712277e+27
5.144538e-07,3.750046e+27
5.169748e-07,3.794438e+27
5.194958e-07,3.844592e+27
5.220168e-07,3.901718e+27
5.245378e-07,3.966177e+27
5.270588e-07,4.042620e+27
5.295798e-07,4.130130e+27
5.321008e-07,4.228036e+27
5.346218e-07,4.340223e+27
5.371429e-07,4.465581e+27
5.396639e-07,4.604083e+27
5.421849e-07,4.757278e+27
5.447059e-07,4.923460e+27
5.472269e-07,5.104339e+27
5.497479e-07,5.299642e+27
5.522689e-07,5.508347e+27
5.547899e-07,5.730259e+27
5.573109e-07,5.966216e+27
5.598319e-07,6.214302e+27
5.623529e-07,6.474738e+27
5.648739e-07,6.747072e+27
5.673950e-07,7.030806e+27
5.699160e-07,7.325507e+27
5.724370e-07,7.631185e+27
5.749580e-07,7.947565e+27
5.774790e-07,8.274735e+27
5.800000e-07,8.612827e+27
