z_m,G_1_per_m3_s
2.800000e-07,1.023486e+27
2.825210e-07,5.065968e+26
2.850420e-07,5.280484e+26
2.875630e-07,5.496021e+26
2.900840e-07,5.709042e+26
2.926050e-07,5.916197e+26
2.951261e-07,6.114767e+26
2.976471e-07,6.302297e+26
3.001681e-07,6.476870e+26
3.026891e-07,6.637099e+26
3.052101e-07,6.782655e+26
3.077311e-07,6.912287e+26
3.102521e-07,7.027167e+26
3.127731e-07,7.128588e+26
3.152941e-07,7.216755e+26
3.178151e-07,7.293736e+26
3.203361e-07,7.362268e+26
3.228571e-07,7.423494e+26
3.253782e-07,7.480619e+26
3.278992e-07,7.535571e+26
3.304202e-07,7.589775e+26
3.329412e-07,7.647772e+26
3.354622e-07,7.710570e+26
3.379832e-07,7.778833e+26
3.405042e-07,7.856637e+26
3.430252e-07,7.945014e+26
3.455462e-07,8.041826e+26
3.480672e-07,8.147743e+26
3.505882e-07,8.271640e+26
3.531092e-07,8.407479e+26
3.556303e-07,8.551330e+26
3.581513e-07,8.708293e+26
3.606723e-07,8.877501e+26
3.631933e-07,9.057205e+26
3.657143e-07,9.253770e+26
3.682353e-07,9.452750e+26
3.707563e-07,9.659030e+26
3.732773e-07,9.875864e+26
3.757983e-07,1.010393e+27
3.783193e-07,1.034100e+27
3.808403e-07,1.058158e+27
3.833613e-07,1.082361e+27
3.858824e-07,1.106630e+27
3.884034e-07,1.132363e+27
3.909244e-07,1.158866e+27
3.934454e-07,1.185981e+27
3.959664e-07,1.213468e+27
3.984874e-07,1.240853e+27
4.010084e-07,1.267976e+27
4.035294e-07,1.295099e+27
4.060504e-07,1.325060e+27
4.085714e-07,1.355207e+27
4.110924e-07,1.386048e+27
4.136134e-07,1.417358e+27
4.161345e-07,1.448669e+27
4.186555e-07,1.479166e+27
4.211765e-07,1.509570e+27
4.236975e-07,1.540905e+27
4.262185e-07,1.575990e+27
4.287395e-07,1.611076e+27
4.312605e-07,1.646832e+27
4.337815e-07,1.683257e+27
4.363025e-07,1.719683e+27
4.388235e-07,1.755340e+27
4.413445e-07,1.790806e+27
4.438655e-07,1.826923e+27
4.463866e-07,1.868733e+27
4.489076e-07,1.910542e+27
4.514286e-07,1.953209e+27
4.539496e-07,1.997141e+27
4.564706e-07,2.041086e+27
4.589916e-07,2.085235e+27
4.615126e-07,2.129384e+27
4.640336e-07,2.178831e+27
4.665546e-07,2.230344e+27
4.690756e-07,2.283156e+27
4.715966e-07,2.338111e+27
4.741176e-07,2.393552e+27
4.766387e-07,2.449915e+27
4.791597e-07,2.508800e+27
4.816807e-07,2.573239e+27
4.842017e-07,2.638875e+27
4.867227e-07,2.707592e+27
4.892437e-07,2.777388e+27
4.917647e-07,2.848197e+27
4.942857e-07,2.925139e+27
4.968067e-07,3.004110e+27
4.993277e-07,3.087577e+27
5.018487e-07,3.172181e+27
5.043697e-07,3.258072e+27
5.068908e-07,3.351212e+27
5.094118e-07,3.446727e+27
5.119328e-07,3.545152e+27
5.144538e-07,3.645900e+27
5.169748e-07,3.752085e+27
5.194958e-07,3.862029e+27
5.220168e-07,3.975279e+27
5.245378e-07,4.091186e+27
5.270588e-07,4.213331e+27
5.295798e-07,4.339672e+27
5.321008e-07,4.468896e+27
5.346218e-07,4.604514e+27
5.371429e-07,4.744913e+27
5.396639e-07,4.889660e+27
5.421849e-07,5.040913e+27
5.447059e-07,5.197012e+27
5.472269e-07,5.359843e+27
5.497479e-07,5.529252e+27
5.522689e-07,5.705599e+27
5.547899e-07,5.889124e+27
5.573109e-07,6.081428e+27
5.598319e-07,6.281880e+27
5.623529e-07,6.491694e+27
5.648739e-07,6.711552e+27
5.673950e-07,6.942122e+27
5.699160e-07,7.184112e+27
5.724370e-07,7.438676e+27
5.749580e-07,7.706631e+27
5.774790e-07,7.989080e+27
5.800000e-07,8.287061e+27
