z_m,G_1_per_m3_s
2.815000e-07,1.309860e+27
2.865340e-07,1.368899e+27
2.915680e-07,1.367603e+27
2.966020e-07,1.308819e+27
3.016360e-07,1.199562e+27
3.066690e-07,1.052018e+27
3.117030e-07,8.833947e+26
3.167370e-07,7.057387e+26
3.217710e-07,5.414199e+26
3.268050e-07,4.041986e+26
3.318390e-07,3.069961e+26
3.368730e-07,2.569692e+26
3.419070e-07,2.581059e+26
3.469410e-07,3.089720e+26
3.519750e-07,4.042938e+26
3.570080e-07,5.337918e+26
3.620420e-07,6.857063e+26
3.670760e-07,8.459217e+26
3.721100e-07,1.001019e+27
3.771440e-07,1.140185e+27
3.821780e-07,1.251911e+27
3.872120e-07,1.331356e+27
3.922460e-07,1.373167e+27
3.972800e-07,1.378959e+27
4.023140e-07,1.356301e+27
4.073470e-07,1.307277e+27
4.123810e-07,1.242518e+27
4.174150e-07,1.173062e+27
4.224490e-07,1.106619e+27
4.274830e-07,1.053844e+27
4.325170e-07,1.021765e+27
4.375510e-07,1.016532e+27
4.425850e-07,1.040342e+27
4.476190e-07,1.094003e+27
4.526530e-07,1.176245e+27
4.576860e-07,1.283605e+27
4.627200e-07,1.411726e+27
4.677540e-07,1.555526e+27
4.727880e-07,1.709458e+27
4.778220e-07,1.868365e+27
4.828560e-07,2.029619e+27
4.878900e-07,2.188779e+27
4.929240e-07,2.347227e+27
4.979580e-07,2.504219e+27
5.029920e-07,2.660349e+27
5.080250e-07,2.820439e+27
5.130590e-07,2.988738e+27
5.180930e-07,3.171333e+27
5.231270e-07,3.372311e+27
5.281610e-07,3.601014e+27
5.331950e-07,3.861470e+27
5.382290e-07,4.166411e+27
5.432630e-07,4.519662e+27
5.482970e-07,4.932227e+27
5.533310e-07,5.416985e+27
5.583640e-07,5.982340e+27
5.633980e-07,6.646252e+27
5.684320e-07,7.422958e+27
5.734660e-07,8.332146e+27
5.785000e-07,9.393023e+27
