z_m,G_1_per_m3_s
2.800000e-07,6.306794e+11
2.825210e-07,2.491952e+26
2.850420e-07,2.288598e+26
2.875630e-07,2.096538e+26
2.900840e-07,1.919954e+26
2.926050e-07,1.762722e+26
2.951261e-07,1.627644e+26
2.976471e-07,1.517441e+26
3.001681e-07,1.433990e+26
3.026891e-07,1.378661e+26
3.052101e-07,1.351607e+26
3.077311e-07,1.354051e+26
3.102521e-07,1.384384e+26
3.127731e-07,1.440068e+26
3.152941e-07,1.521837e+26
3.178151e-07,1.625831e+26
3.203361e-07,1.749310e+26
3.228571e-07,1.888689e+26
3.253782e-07,2.042451e+26
3.278992e-07,2.206422e+26
3.304202e-07,2.376376e+26
3.329412e-07,2.549983e+26
3.354622e-07,2.723166e+26
3.379832e-07,2.891533e+26
3.405042e-07,3.053571e+26
3.430252e-07,3.205768e+26
3.455462e-07,3.347655e+26
3.480672e-07,3.475851e+26
3.505882e-07,3.585408e+26
3.531092e-07,3.678653e+26
3.556303e-07,3.760052e+26
3.581513e-07,3.815676e+26
3.606723e-07,3.856958e+26
3.631933e-07,3.885850e+26
3.657143e-07,3.887637e+26
3.682353e-07,3.883133e+26
3.707563e-07,3.859606e+26
3.732773e-07,3.826611e+26
3.757983e-07,3.783540e+26
3.783193e-07,3.729819e+26
3.808403e-07,3.671964e+26
3.833613e-07,3.609216e+26
3.858824e-07,3.544246e+26
3.884034e-07,3.480522e+26
3.909244e-07,3.417454e+26
3.934454e-07,3.360295e+26
3.959664e-07,3.306721e+26
3.984874e-07,3.257776e+26
4.010084e-07,3.220718e+26
4.035294e-07,3.183661e+26
4.060504e-07,3.169190e+26
4.085714e-07,3.156207e+26
4.110924e-07,3.158083e+26
4.136134e-07,3.170025e+26
4.161345e-07,3.181968e+26
4.186555e-07,3.213384e+26
4.211765e-07,3.247025e+26
4.236975e-07,3.285524e+26
4.262185e-07,3.343611e+26
4.287395e-07,3.401698e+26
4.312605e-07,3.465701e+26
4.337815e-07,3.535620e+26
4.363025e-07,3.605538e+26
4.388235e-07,3.677248e+26
4.413445e-07,3.749401e+26
4.438655e-07,3.822196e+26
4.463866e-07,3.900606e+26
4.489076e-07,3.979015e+26
4.514286e-07,4.055772e+26
4.539496e-07,4.130091e+26
4.564706e-07,4.204006e+26
4.589916e-07,4.271798e+26
4.615126e-07,4.339589e+26
4.640336e-07,4.408321e+26
4.665546e-07,4.477420e+26
4.690756e-07,4.545465e+26
4.715966e-07,4.611771e+26
4.741176e-07,4.677070e+26
4.766387e-07,4.740457e+26
4.791597e-07,4.805413e+26
4.816807e-07,4.873826e+26
4.842017e-07,4.942651e+26
4.867227e-07,5.012535e+26
4.892437e-07,5.082480e+26
4.917647e-07,5.152482e+26
4.942857e-07,5.227393e+26
4.968067e-07,5.303927e+26
4.993277e-07,5.382750e+26
5.018487e-07,5.461643e+26
5.043697e-07,5.540582e+26
5.068908e-07,5.624410e+26
5.094118e-07,5.709132e+26
5.119328e-07,5.794569e+26
5.144538e-07,5.879230e+26
5.169748e-07,5.966604e+26
5.194958e-07,6.055139e+26
5.220168e-07,6.143674e+26
5.245378e-07,6.231696e+26
5.270588e-07,6.322360e+26
5.295798e-07,6.413562e+26
5.321008e-07,6.504287e+26
5.346218e-07,6.597857e+26
5.371429e-07,6.692817e+26
5.396639e-07,6.788984e+26
5.421849e-07,6.888638e+26
5.447059e-07,6.990520e+26
5.472269e-07,7.096528e+26
5.497479e-07,7.206726e+26
5.522689e-07,7.321862e+26
5.547899e-07,7.442344e+26
5.573109e-07,7.569747e+26
5.598319e-07,7.703784e+26
5.623529e-07,7.845575e+26
5.648739e-07,7.995738e+26
5.673950e-07,8.154789e+26
5.699160e-07,8.323167e+26
5.724370e-07,8.501553e+26
5.749580e-07,8.690229e+26
5.774790e-07,8.889564e+26
5.800000e-07,9.099748e+26
