z_m,G_1_per_m3_s
2.800000e-07,1.322845e+11
2.825210e-07,1.530319e+27
2.850420e-07,1.578372e+27
2.875630e-07,1.613897e+27
2.900840e-07,1.636516e+27
2.926050e-07,1.646029e+27
2.951261e-07,1.642805e+27
2.976471e-07,1.627142e+27
3.001681e-07,1.599727e+27
3.026891e-07,1.561380e+27
3.052101e-07,1.513320e+27
3.077311e-07,1.456447e+27
3.102521e-07,1.392476e+27
3.127731e-07,1.323131e+27
3.152941e-07,1.249558e+27
3.178151e-07,1.173712e+27
3.203361e-07,1.097147e+27
3.228571e-07,1.021533e+27
3.253782e-07,9.484027e+26
3.278992e-07,8.792924e+26
3.304202e-07,8.157189e+26
3.329412e-07,7.587581e+26
3.354622e-07,7.097454e+26
3.379832e-07,6.698438e+26
3.405042e-07,6.391320e+26
3.430252e-07,6.186007e+26
3.455462e-07,6.067130e+26
3.480672e-07,6.047637e+26
3.505882e-07,6.154585e+26
3.531092e-07,6.353371e+26
3.556303e-07,6.615679e+26
3.581513e-07,6.995869e+26
3.606723e-07,7.438776e+26
3.631933e-07,7.935502e+26
3.657143e-07,8.522844e+26
3.682353e-07,9.123718e+26
3.707563e-07,9.765506e+26
3.732773e-07,1.042256e+27
3.757983e-07,1.109587e+27
3.783193e-07,1.175658e+27
3.808403e-07,1.241241e+27
3.833613e-07,1.301922e+27
3.858824e-07,1.360377e+27
3.884034e-07,1.413131e+27
3.909244e-07,1.462883e+27
3.934454e-07,1.504358e+27
3.959664e-07,1.540811e+27
3.984874e-07,1.572769e+27
4.010084e-07,1.593186e+27
4.035294e-07,1.613603e+27
4.060504e-07,1.621489e+27
4.085714e-07,1.628551e+27
4.110924e-07,1.628239e+27
4.136134e-07,1.622932e+27
4.161345e-07,1.617626e+27
4.186555e-07,1.605053e+27
4.211765e-07,1.591651e+27
4.236975e-07,1.578432e+27
4.262185e-07,1.565956e+27
4.287395e-07,1.553479e+27
4.312605e-07,1.544637e+27
4.337815e-07,1.539429e+27
4.363025e-07,1.534222e+27
4.388235e-07,1.538673e+27
4.413445e-07,1.545520e+27
4.438655e-07,1.554490e+27
4.463866e-07,1.582036e+27
4.489076e-07,1.609581e+27
4.514286e-07,1.645013e+27
4.539496e-07,1.692085e+27
4.564706e-07,1.740121e+27
4.589916e-07,1.802792e+27
4.615126e-07,1.865462e+27
4.640336e-07,1.942584e+27
4.665546e-07,2.025336e+27
4.690756e-07,2.113164e+27
4.715966e-07,2.209360e+27
4.741176e-07,2.307985e+27
4.766387e-07,2.411221e+27
4.791597e-07,2.517869e+27
4.816807e-07,2.632030e+27
4.842017e-07,2.747480e+27
4.867227e-07,2.866249e+27
4.892437e-07,2.984974e+27
4.917647e-07,3.103658e+27
4.942857e-07,3.226122e+27
4.968067e-07,3.349836e+27
4.993277e-07,3.474490e+27
5.018487e-07,3.598430e+27
5.043697e-07,3.721504e+27
5.068908e-07,3.848863e+27
5.094118e-07,3.977444e+27
5.119328e-07,4.107428e+27
5.144538e-07,4.238202e+27
5.169748e-07,4.374455e+27
5.194958e-07,4.514993e+27
5.220168e-07,4.660083e+27
5.245378e-07,4.809729e+27
5.270588e-07,4.969212e+27
5.295798e-07,5.137512e+27
5.321008e-07,5.313936e+27
5.346218e-07,5.503886e+27
5.371429e-07,5.706765e+27
5.396639e-07,5.923316e+27
5.421849e-07,6.156900e+27
5.447059e-07,6.406609e+27
5.472269e-07,6.676181e+27
5.497479e-07,6.967239e+27
5.522689e-07,7.280087e+27
5.547899e-07,7.616643e+27
5.573109e-07,7.980612e+27
5.598319e-07,8.371344e+27
5.623529e-07,8.791698e+27
5.648739e-07,9.243409e+27
5.673950e-07,9.728292e+27
5.699160e-07,1.024800e+28
5.724370e-07,1.080533e+28
5.749580e-07,1.140213e+28
5.774790e-07,1.204086e+28
5.800000e-07,1.272379e+28
