z_m,G_1_per_m3_s
2.800000e-07,1.992204e+11
2.825210e-07,1.055884e+27
2.850420e-07,1.149523e+27
2.875630e-07,1.239865e+27
2.900840e-07,1.325735e+27
2.926050e-07,1.405998e+27
2.951261e-07,1.479783e+27
2.976471e-07,1.546189e+27
3.001681e-07,1.604497e+27
3.026891e-07,1.654084e+27
3.052101e-07,1.694664e+27
3.077311e-07,1.725476e+27
3.102521e-07,1.746681e+27
3.127731e-07,1.758731e+27
3.152941e-07,1.760818e+27
3.178151e-07,1.753748e+27
3.203361e-07,1.738069e+27
3.228571e-07,1.714402e+27
3.253782e-07,1.682782e+27
3.278992e-07,1.644150e+27
3.304202e-07,1.599432e+27
3.329412e-07,1.549384e+27
3.354622e-07,1.494892e+27
3.379832e-07,1.437111e+27
3.405042e-07,1.377082e+27
3.430252e-07,1.315746e+27
3.455462e-07,1.254106e+27
3.480672e-07,1.192897e+27
3.505882e-07,1.133616e+27
3.531092e-07,1.076941e+27
3.556303e-07,1.022336e+27
3.581513e-07,9.734615e+26
3.606723e-07,9.287884e+26
3.631933e-07,8.877672e+26
3.657143e-07,8.564417e+26
3.682353e-07,8.279718e+26
3.707563e-07,8.081354e+26
3.732773e-07,7.943992e+26
3.757983e-07,7.871541e+26
3.783193e-07,7.897291e+26
3.808403e-07,7.961155e+26
3.833613e-07,8.118046e+26
3.858824e-07,8.317173e+26
3.884034e-07,8.606451e+26
3.909244e-07,8.943191e+26
3.934454e-07,9.357639e+26
3.959664e-07,9.819218e+26
3.984874e-07,1.030768e+27
4.010084e-07,1.086515e+27
4.035294e-07,1.142262e+27
4.060504e-07,1.206832e+27
4.085714e-07,1.271983e+27
4.110924e-07,1.340511e+27
4.136134e-07,1.411326e+27
4.161345e-07,1.482142e+27
4.186555e-07,1.553587e+27
4.211765e-07,1.625104e+27
4.236975e-07,1.697102e+27
4.262185e-07,1.771036e+27
4.287395e-07,1.844969e+27
4.312605e-07,1.918081e+27
4.337815e-07,1.990370e+27
4.363025e-07,2.062659e+27
4.388235e-07,2.131055e+27
4.413445e-07,2.198485e+27
4.438655e-07,2.265993e+27
4.463866e-07,2.334178e+27
4.489076e-07,2.402363e+27
4.514286e-07,2.470099e+27
4.539496e-07,2.537170e+27
4.564706e-07,2.604119e+27
4.589916e-07,2.669209e+27
4.615126e-07,2.734300e+27
4.640336e-07,2.803226e+27
4.665546e-07,2.873647e+27
4.690756e-07,2.945624e+27
4.715966e-07,3.020166e+27
4.741176e-07,3.095775e+27
4.766387e-07,3.173411e+27
4.791597e-07,3.254466e+27
4.816807e-07,3.343051e+27
4.842017e-07,3.434222e+27
4.867227e-07,3.532055e+27
4.892437e-07,3.633815e+27
4.917647e-07,3.739265e+27
4.942857e-07,3.856464e+27
4.968067e-07,3.977549e+27
4.993277e-07,4.111859e+27
5.018487e-07,4.251505e+27
5.043697e-07,4.397305e+27
5.068908e-07,4.560971e+27
5.094118e-07,4.732666e+27
5.119328e-07,4.915422e+27
5.144538e-07,5.111611e+27
5.169748e-07,5.324106e+27
5.194958e-07,5.550301e+27
5.220168e-07,5.792221e+27
5.245378e-07,6.049156e+27
5.270588e-07,6.327767e+27
5.295798e-07,6.626525e+27
5.321008e-07,6.944114e+27
5.346218e-07,7.286741e+27
5.371429e-07,7.653542e+27
5.396639e-07,8.045396e+27
5.421849e-07,8.465641e+27
5.447059e-07,8.913231e+27
5.472269e-07,9.392782e+27
5.497479e-07,9.906806e+27
5.522689e-07,1.045500e+28
5.547899e-07,1.104036e+28
5.573109e-07,1.166801e+28
5.598319e-07,1.233726e+28
5.623529e-07,1.305233e+28
5.648739e-07,1.381599e+28
5.673950e-07,1.463129e+28
5.699160e-07,1.550109e+28
5.724370e-07,1.643003e+28
5.749580e-07,1.742144e+28
5.774790e-07,1.847957e+28
5.800000e-07,1.960844e+28
