z_m,G_1_per_m3_s
2.465000e-07,1.309860e+27
2.515340e-07,1.368899e+27
2.565680e-07,1.367603e+27
2.616020e-07,1.308819e+27
2.666360e-07,1.199562e+27
2.716690e-07,1.052018e+27
2.767030e-07,8.833947e+26
2.817370e-07,7.057387e+26
2.867710e-07,5.414199e+26
2.918050e-07,4.041986e+26
2.968390e-07,3.069961e+26
3.018730e-07,2.569692e+26
3.069070e-07,2.581059e+26
3.119410e-07,3.089720e+26
3.169750e-07,4.042938e+26
3.220080e-07,5.337918e+26
3.270420e-07,6.857063e+26
3.320760e-07,8.459217e+26
3.371100e-07,1.001019e+27
3.421440e-07,1.140185e+27
3.471780e-07,1.251911e+27
3.522120e-07,1.331356e+27
3.572460e-07,1.373167e+27
3.622800e-07,1.378959e+27
3.673140e-07,1.356301e+27
3.723470e-07,1.307277e+27
3.773810e-07,1.242518e+27
3.824150e-07,1.173062e+27
3.874490e-07,1.106619e+27
3.924830e-07,1.053844e+27
3.975170e-07,1.021765e+27
4.025510e-07,1.016532e+27
4.075850e-07,1.040342e+27
4.126190e-07,1.094003e+27
4.176530e-07,1.176245e+27
4.226860e-07,1.283605e+27
4.277200e-07,1.411726e+27
4.327540e-07,1.555526e+27
4.377880e-07,1.709458e+27
4.428220e-07,1.868365e+27
4.478560e-07,2.029619e+27
4.528900e-07,2.188779e+27
4.579240e-07,2.347227e+27
4.629580e-07,2.504219e+27
4.679920e-07,2.660349e+27
4.730250e-07,2.820439e+27
4.780590e-07,2.988738e+27
4.830930e-07,3.171333e+27
4.881270e-07,3.372311e+27
4.931610e-07,3.601014e+27
4.981950e-07,3.861470e+27
5.032290e-07,4.166411e+27
5.082630e-07,4.519662e+27
5.132970e-07,4.932227e+27
5.183310e-07,5.416985e+27
5.233640e-07,5.982340e+27
5.283980e-07,6.646252e+27
5.334320e-07,7.422958e+27
5.384660e-07,8.332146e+27
5.435000e-07,9.393023e+27
