z_m,G_1_per_m3_s
2.465000e-07,3.783026e+26
2.515340e-07,3.213596e+26
2.565680e-07,2.710357e+26
2.616020e-07,2.308696e+26
2.666360e-07,2.042480e+26
2.716690e-07,1.920560e+26
2.767030e-07,1.956651e+26
2.817370e-07,2.134292e+26
2.867710e-07,2.422436e+26
2.918050e-07,2.792813e+26
2.968390e-07,3.219919e+26
3.018730e-07,3.647002e+26
3.069070e-07,4.042537e+26
3.119410e-07,4.389084e+26
3.169750e-07,4.651707e+26
3.220080e-07,4.834491e+26
3.270420e-07,4.912957e+26
3.320760e-07,4.909160e+26
3.371100e-07,4.837309e+26
3.421440e-07,4.706079e+26
3.471780e-07,4.547606e+26
3.522120e-07,4.387294e+26
3.572460e-07,4.231109e+26
3.622800e-07,4.114036e+26
3.673140e-07,4.039733e+26
3.723470e-07,4.023624e+26
3.773810e-07,4.052630e+26
3.824150e-07,4.128818e+26
3.874490e-07,4.246418e+26
3.924830e-07,4.396130e+26
3.975170e-07,4.567257e+26
4.025510e-07,4.742241e+26
4.075850e-07,4.913528e+26
4.126190e-07,5.065609e+26
4.176530e-07,5.216268e+26
4.226860e-07,5.339868e+26
4.277200e-07,5.444614e+26
4.327540e-07,5.533598e+26
4.377880e-07,5.624313e+26
4.428220e-07,5.706776e+26
4.478560e-07,5.792978e+26
4.528900e-07,5.903864e+26
4.579240e-07,6.031521e+26
4.629580e-07,6.180111e+26
4.679920e-07,6.341628e+26
4.730250e-07,6.533994e+26
4.780590e-07,6.751137e+26
4.830930e-07,6.983319e+26
4.881270e-07,7.222791e+26
4.931610e-07,7.472449e+26
4.981950e-07,7.728424e+26
5.032290e-07,7.978929e+26
5.082630e-07,8.241327e+26
5.132970e-07,8.499412e+26
5.183310e-07,8.758201e+26
5.233640e-07,9.030649e+26
5.283980e-07,9.306112e+26
5.334320e-07,9.606436e+26
5.384660e-07,9.932642e+26
5.435000e-07,1.028492e+27
