z_m,G_1_per_m3_s
2.815000e-07,3.572403e+26
2.865340e-07,3.045128e+26
2.915680e-07,2.565367e+26
2.966020e-07,2.175816e+26
3.016360e-07,1.908062e+26
3.066690e-07,1.780360e+26
3.117030e-07,1.796787e+26
3.167370e-07,1.948038e+26
3.217710e-07,2.213191e+26
3.268050e-07,2.562611e+26
3.318390e-07,2.961433e+26
3.368730e-07,3.373266e+26
3.419070e-07,3.763740e+26
3.469410e-07,4.103572e+26
3.519750e-07,4.370876e+26
3.570080e-07,4.552551e+26
3.620420e-07,4.644848e+26
3.670760e-07,4.652667e+26
3.721100e-07,4.588437e+26
3.771440e-07,4.470193e+26
3.821780e-07,4.319320e+26
3.872120e-07,4.158192e+26
3.922460e-07,4.007940e+26
3.972800e-07,3.886558e+26
4.023140e-07,3.807502e+26
4.073470e-07,3.778876e+26
4.123810e-07,3.803222e+26
4.174150e-07,3.877934e+26
4.224490e-07,3.996083e+26
4.274830e-07,4.147637e+26
4.325170e-07,4.320864e+26
4.375510e-07,4.503761e+26
4.425850e-07,4.685360e+26
4.476190e-07,4.856785e+26
4.526530e-07,5.011979e+26
4.576860e-07,5.148021e+26
4.627200e-07,5.265198e+26
4.677540e-07,5.366478e+26
4.727880e-07,5.456996e+26
4.778220e-07,5.543231e+26
4.828560e-07,5.632158e+26
4.878900e-07,5.730434e+26
4.929240e-07,5.843718e+26
4.979580e-07,5.976177e+26
5.029920e-07,6.130219e+26
5.080250e-07,6.306422e+26
5.130590e-07,6.503861e+26
5.180930e-07,6.720246e+26
5.231270e-07,6.952526e+26
5.281610e-07,7.197378e+26
5.331950e-07,7.451713e+26
5.382290e-07,7.713131e+26
5.432630e-07,7.980271e+26
5.482970e-07,8.253032e+26
5.533310e-07,8.532665e+26
5.583640e-07,8.821681e+26
5.633980e-07,9.123942e+26
5.684320e-07,9.444095e+26
5.734660e-07,9.787533e+26
5.785000e-07,1.016005e+27
