z_m,G_1_per_m3_s
2.815000e-07,3.783026e+26
2.865340e-07,3.213596e+26
2.915680e-07,2.710357e+26
2.966020e-07,2.308696e+26
3.016360e-07,2.042480e+26
3.066690e-07,1.920560e+26
3.117030e-07,1.956651e+26
3.167370e-07,2.134292e+26
3.217710e-07,2.422436e+26
3.268050e-07,2.792813e+26
3.318390e-07,3.219919e+26
3.368730e-07,3.647002e+26
3.419070e-07,4.042537e+26
3.469410e-07,4.389084e+26
3.519750e-07,4.651707e+26
3.570080e-07,4.834491e+26
3.620420e-07,4.912957e+26
3.670760e-07,4.909160e+26
3.721100e-07,4.837309e+26
3.771440e-07,4.706079e+26
3.821780e-07,4.547606e+26
3.872120e-07,4.387294e+26
3.922460e-07,4.231109e+26
3.972800e-07,4.114036e+26
4.023140e-07,4.039733e+26
4.073470e-07,4.023624e+26
4.123810e-07,4.052630e+26
4.174150e-07,4.128818e+26
4.224490e-07,4.246418e+26
4.274830e-07,4.396130e+26
4.325170e-07,4.567257e+26
4.375510e-07,4.742241e+26
4.425850e-07,4.913528e+26
4.476190e-07,5.065609e+26
4.526530e-07,5.216268e+26
4.576860e-07,5.339868e+26
4.627200e-07,5.444614e+26
4.677540e-07,5.533598e+26
4.727880e-07,5.624313e+26
4.778220e-07,5.706776e+26
4.828560e-07,5.792978e+26
4.878900e-07,5.903864e+26
4.929240e-07,6.031521e+26
4.979580e-07,6.180111e+26
5.029920e-07,6.341628e+26
5.080250e-07,6.533994e+26
5.130590e-07,6.751137e+26
5.180930e-07,6.983319e+26
5.231270e-07,7.222791e+26
5.281610e-07,7.472449e+26
5.331950e-07,7.728424e+26
5.382290e-07,7.978929e+26
5.432630e-07,8.241327e+26
5.482970e-07,8.499412e+26
5.533310e-07,8.758201e+26
5.583640e-07,9.030649e+26
5.633980e-07,9.306112e+26
5.684320e-07,9.606436e+26
5.734660e-07,9.932642e+26
5.785000e-07,1.028492e+27
