z_m,G_1_per_m3_s
2.465000e-07,8.889629e+26
2.515340e-07,1.040238e+27
2.565680e-07,1.172229e+27
2.616020e-07,1.276973e+27
2.666360e-07,1.349564e+27
2.716690e-07,1.383611e+27
2.767030e-07,1.381170e+27
2.817370e-07,1.348623e+27
2.867710e-07,1.284962e+27
2.918050e-07,1.201772e+27
2.968390e-07,1.108408e+27
3.018730e-07,1.013145e+27
3.069070e-07,9.270073e+26
3.119410e-07,8.563201e+26
3.169750e-07,8.088106e+26
3.220080e-07,7.906036e+26
3.270420e-07,8.016598e+26
3.320760e-07,8.416062e+26
3.371100e-07,9.083901e+26
3.421440e-07,9.968935e+26
3.471780e-07,1.101957e+27
3.522120e-07,1.214332e+27
3.572460e-07,1.329492e+27
3.622800e-07,1.435174e+27
3.673140e-07,1.531904e+27
3.723470e-07,1.614795e+27
3.773810e-07,1.677277e+27
3.824150e-07,1.720464e+27
3.874490e-07,1.748255e+27
3.924830e-07,1.760925e+27
3.975170e-07,1.769108e+27
4.025510e-07,1.773142e+27
4.075850e-07,1.780832e+27
4.126190e-07,1.799995e+27
4.176530e-07,1.837088e+27
4.226860e-07,1.900008e+27
4.277200e-07,1.988790e+27
4.327540e-07,2.107414e+27
4.377880e-07,2.260525e+27
4.428220e-07,2.443126e+27
4.478560e-07,2.657475e+27
4.528900e-07,2.899694e+27
4.579240e-07,3.167364e+27
4.629580e-07,3.457379e+27
4.679920e-07,3.772738e+27
4.730250e-07,4.102541e+27
4.780590e-07,4.454104e+27
4.830930e-07,4.828847e+27
4.881270e-07,5.226776e+27
4.931610e-07,5.652881e+27
4.981950e-07,6.113951e+27
5.032290e-07,6.618231e+27
5.082630e-07,7.184135e+27
5.132970e-07,7.816638e+27
5.183310e-07,8.529351e+27
5.233640e-07,9.343528e+27
5.283980e-07,1.026426e+28
5.334320e-07,1.132935e+28
5.384660e-07,1.253685e+28
5.435000e-07,1.391685e+28
