z_m,G_1_per_m3_s
2.815000e-07,1.540786e+26
2.865340e-07,1.556311e+26
2.915680e-07,1.505419e+26
2.966020e-07,1.397530e+26
3.016360e-07,1.244884e+26
3.066690e-07,1.066251e+26
3.117030e-07,8.847220e+25
3.167370e-07,7.236544e+25
3.217710e-07,6.030750e+25
3.268050e-07,5.416096e+25
3.318390e-07,5.513569e+25
3.368730e-07,6.386620e+25
3.419070e-07,8.030999e+25
3.469410e-07,1.037567e+26
3.519750e-07,1.329743e+26
3.570080e-07,1.661781e+26
3.620420e-07,2.014111e+26
3.670760e-07,2.366901e+26
3.721100e-07,2.703099e+26
3.771440e-07,3.007405e+26
3.821780e-07,3.270787e+26
3.872120e-07,3.489054e+26
3.922460e-07,3.668814e+26
3.972800e-07,3.813709e+26
4.023140e-07,3.946586e+26
4.073470e-07,4.084345e+26
4.123810e-07,4.250087e+26
4.174150e-07,4.467240e+26
4.224490e-07,4.756981e+26
4.274830e-07,5.135907e+26
4.325170e-07,5.629257e+26
4.375510e-07,6.239775e+26
4.425850e-07,6.973381e+26
4.476190e-07,7.821616e+26
4.526530e-07,8.792338e+26
4.576860e-07,9.878433e+26
4.627200e-07,1.105950e+27
4.677540e-07,1.233143e+27
4.727880e-07,1.369637e+27
4.778220e-07,1.514155e+27
4.828560e-07,1.668501e+27
4.878900e-07,1.833173e+27
4.929240e-07,2.010993e+27
4.979580e-07,2.203455e+27
5.029920e-07,2.417378e+27
5.080250e-07,2.653960e+27
5.130590e-07,2.919418e+27
5.180930e-07,3.221921e+27
5.231270e-07,3.563441e+27
5.281610e-07,3.953057e+27
5.331950e-07,4.398782e+27
5.382290e-07,4.902880e+27
5.432630e-07,5.479056e+27
5.482970e-07,6.132211e+27
5.533310e-07,6.869746e+27
5.583640e-07,7.709736e+27
5.633980e-07,8.651761e+27
5.684320e-07,9.728352e+27
5.734660e-07,1.093321e+28
5.785000e-07,1.229446e+28
