z_m,G_1_per_m3_s
2.815000e-07,8.889629e+26
2.865340e-07,1.040238e+27
2.915680e-07,1.172229e+27
2.966020e-07,1.276973e+27
3.016360e-07,1.349564e+27
3.066690e-07,1.383611e+27
3.117030e-07,1.381170e+27
3.167370e-07,1.348623e+27
3.217710e-07,1.284962e+27
3.268050e-07,1.201772e+27
3.318390e-07,1.108408e+27
3.368730e-07,1.013145e+27
3.419070e-07,9.270073e+26
3.469410e-07,8.563201e+26
3.519750e-07,8.088106e+26
3.570080e-07,7.906036e+26
3.620420e-07,8.016598e+26
3.670760e-07,8.416062e+26
3.721100e-07,9.083901e+26
3.771440e-07,9.968935e+26
3.821780e-07,1.101957e+27
3.872120e-07,1.214332e+27
3.922460e-07,1.329492e+27
3.972800e-07,1.435174e+27
4.023140e-07,1.531904e+27
4.073470e-07,1.614795e+27
4.123810e-07,1.677277e+27
4.174150e-07,1.720464e+27
4.224490e-07,1.748255e+27
4.274830e-07,1.760925e+27
4.325170e-07,1.769108e+27
4.375510e-07,1.773142e+27
4.425850e-07,1.780832e+27
4.476190e-07,1.799995e+27
4.526530e-07,1.837088e+27
4.576860e-07,1.900008e+27
4.627200e-07,1.988790e+27
4.677540e-07,2.107414e+27
4.727880e-07,2.260525e+27
4.778220e-07,2.443126e+27
4.828560e-07,2.657475e+27
4.878900e-07,2.899694e+27
4.929240e-07,3.167364e+27
4.979580e-07,3.457379e+27
5.029920e-07,3.772738e+27
5.080250e-07,4.102541e+27
5.130590e-07,4.454104e+27
5.180930e-07,4.828847e+27
5.231270e-07,5.226776e+27
5.281610e-07,5.652881e+27
5.331950e-07,6.113951e+27
5.382290e-07,6.618231e+27
5.432630e-07,7.184135e+27
5.482970e-07,7.816638e+27
5.533310e-07,8.529351e+27
5.583640e-07,9.343528e+27
5.633980e-07,1.026426e+28
5.684320e-07,1.132935e+28
5.734660e-07,1.253685e+28
5.785000e-07,1.391685e+28
