z_m,G_1_per_m3_s
2.815000e-07,8.597607e+26
2.865340e-07,1.013424e+27
2.915680e-07,1.139647e+27
2.966020e-07,1.230949e+27
3.016360e-07,1.283068e+27
3.066690e-07,1.290554e+27
3.117030e-07,1.256692e+27
3.167370e-07,1.189351e+27
3.217710e-07,1.089699e+27
3.268050e-07,9.705639e+26
3.318390e-07,8.428098e+26
3.368730e-07,7.164877e+26
3.419070e-07,6.034085e+26
3.469410e-07,5.118541e+26
3.519750e-07,4.501912e+26
3.570080e-07,4.243077e+26
3.620420e-07,4.350542e+26
3.670760e-07,4.820420e+26
3.721100e-07,5.623524e+26
3.771440e-07,6.701997e+26
3.821780e-07,7.991767e+26
3.872120e-07,9.391837e+26
3.922460e-07,1.084160e+27
3.972800e-07,1.220931e+27
4.023140e-07,1.347781e+27
4.073470e-07,1.458687e+27
4.123810e-07,1.546160e+27
4.174150e-07,1.610149e+27
4.224490e-07,1.653606e+27
4.274830e-07,1.676358e+27
4.325170e-07,1.688578e+27
4.375510e-07,1.690768e+27
4.425850e-07,1.691005e+27
4.476190e-07,1.697569e+27
4.526530e-07,1.717672e+27
4.576860e-07,1.760001e+27
4.627200e-07,1.825930e+27
4.677540e-07,1.920475e+27
4.727880e-07,2.049110e+27
4.778220e-07,2.208529e+27
4.828560e-07,2.401668e+27
4.878900e-07,2.625715e+27
4.929240e-07,2.879112e+27
4.979580e-07,3.158978e+27
5.029920e-07,3.468411e+27
5.080250e-07,3.797439e+27
5.130590e-07,4.152398e+27
5.180930e-07,4.534549e+27
5.231270e-07,4.943308e+27
5.281610e-07,5.383340e+27
5.331950e-07,5.860687e+27
5.382290e-07,6.382253e+27
5.432630e-07,6.965525e+27
5.482970e-07,7.614914e+27
5.533310e-07,8.343168e+27
5.583640e-07,9.170940e+27
5.633980e-07,1.010272e+28
5.684320e-07,1.117585e+28
5.734660e-07,1.238811e+28
5.785000e-07,1.376962e+28
