z_m,G_1_per_m3_s
2.465000e-07,7.536704e+26
2.515340e-07,9.141323e+26
2.565680e-07,1.098757e+27
2.616020e-07,1.294436e+27
2.666360e-07,1.494691e+27
2.716690e-07,1.686658e+27
2.767030e-07,1.858485e+27
2.817370e-07,2.006909e+27
2.867710e-07,2.124143e+27
2.918050e-07,2.205438e+27
2.968390e-07,2.254137e+27
3.018730e-07,2.272078e+27
3.069070e-07,2.263024e+27
3.119410e-07,2.234063e+27
3.169750e-07,2.188333e+27
3.220080e-07,2.131394e+27
3.270420e-07,2.072233e+27
3.320760e-07,2.011731e+27
3.371100e-07,1.957813e+27
3.421440e-07,1.911311e+27
3.471780e-07,1.876903e+27
3.522120e-07,1.855986e+27
3.572460e-07,1.845905e+27
3.622800e-07,1.851122e+27
3.673140e-07,1.867992e+27
3.723470e-07,1.899270e+27
3.773810e-07,1.937929e+27
3.824150e-07,1.987433e+27
3.874490e-07,2.047338e+27
3.924830e-07,2.118989e+27
3.975170e-07,2.201143e+27
4.025510e-07,2.298157e+27
4.075850e-07,2.407437e+27
4.126190e-07,2.527944e+27
4.176530e-07,2.666368e+27
4.226860e-07,2.817100e+27
4.277200e-07,2.990325e+27
4.327540e-07,3.181287e+27
4.377880e-07,3.387028e+27
4.428220e-07,3.614629e+27
4.478560e-07,3.860711e+27
4.528900e-07,4.118416e+27
4.579240e-07,4.401800e+27
4.629580e-07,4.703907e+27
4.679920e-07,5.021188e+27
4.730250e-07,5.365292e+27
4.780590e-07,5.736049e+27
4.830930e-07,6.147470e+27
4.881270e-07,6.595079e+27
4.931610e-07,7.093371e+27
4.981950e-07,7.651627e+27
5.032290e-07,8.285316e+27
5.082630e-07,9.008892e+27
5.132970e-07,9.841722e+27
5.183310e-07,1.080741e+28
5.233640e-07,1.192302e+28
5.283980e-07,1.321296e+28
5.334320e-07,1.471342e+28
5.384660e-07,1.645641e+28
5.435000e-07,1.846633e+28
