z_m,G_1_per_m3_s
2.815000e-07,7.536704e+26
2.865340e-07,9.141323e+26
2.915680e-07,1.098757e+27
2.966020e-07,1.294436e+27
3.016360e-07,1.494691e+27
3.066690e-07,1.686658e+27
3.117030e-07,1.858485e+27
3.167370e-07,2.006909e+27
3.217710e-07,2.124143e+27
3.268050e-07,2.205438e+27
3.318390e-07,2.254137e+27
3.368730e-07,2.272078e+27
3.419070e-07,2.263024e+27
3.469410e-07,2.234063e+27
3.519750e-07,2.188333e+27
3.570080e-07,2.131394e+27
3.620420e-07,2.072233e+27
3.670760e-07,2.011731e+27
3.721100e-07,1.957813e+27
3.771440e-07,1.911311e+27
3.821780e-07,1.876903e+27
3.872120e-07,1.855986e+27
3.922460e-07,1.845905e+27
3.972800e-07,1.851122e+27
4.023140e-07,1.867992e+27
4.073470e-07,1.899270e+27
4.123810e-07,1.937929e+27
4.174150e-07,1.987433e+27
4.224490e-07,2.047338e+27
4.274830e-07,2.118989e+27
4.325170e-07,2.201143e+27
4.375510e-07,2.298157e+27
4.425850e-07,2.407437e+27
4.476190e-07,2.527944e+27
4.526530e-07,2.666368e+27
4.576860e-07,2.817100e+27
4.627200e-07,2.990325e+27
4.677540e-07,3.181287e+27
4.727880e-07,3.387028e+27
4.778220e-07,3.614629e+27
4.828560e-07,3.860711e+27
4.878900e-07,4.118416e+27
4.929240e-07,4.401800e+27
4.979580e-07,4.703907e+27
5.029920e-07,5.021188e+27
5.080250e-07,5.365292e+27
5.130590e-07,5.736049e+27
5.180930e-07,6.147470e+27
5.231270e-07,6.595079e+27
5.281610e-07,7.093371e+27
5.331950e-07,7.651627e+27
5.382290e-07,8.285316e+27
5.432630e-07,9.008892e+27
5.482970e-07,9.841722e+27
5.533310e-07,1.080741e+28
5.583640e-07,1.192302e+28
5.633980e-07,1.321296e+28
5.684320e-07,1.471342e+28
5.734660e-07,1.645641e+28
5.785000e-07,1.846633e+28
