z_m,G_1_per_m3_s
2.465000e-07,7.602265e+26
2.515340e-07,9.333029e+26
2.565680e-07,1.132567e+27
2.616020e-07,1.343935e+27
2.666360e-07,1.560386e+27
2.716690e-07,1.767953e+27
2.767030e-07,1.953698e+27
2.817370e-07,2.113704e+27
2.867710e-07,2.239325e+27
2.918050e-07,2.325134e+27
2.968390e-07,2.374381e+27
3.018730e-07,2.388751e+27
3.069070e-07,2.372186e+27
3.119410e-07,2.332306e+27
3.169750e-07,2.272812e+27
3.220080e-07,2.200025e+27
3.270420e-07,2.124001e+27
3.320760e-07,2.046554e+27
3.371100e-07,1.976661e+27
3.421440e-07,1.916101e+27
3.471780e-07,1.870255e+27
3.522120e-07,1.841449e+27
3.572460e-07,1.827302e+27
3.622800e-07,1.832422e+27
3.673140e-07,1.853206e+27
3.723470e-07,1.892015e+27
3.773810e-07,1.941631e+27
3.824150e-07,2.004562e+27
3.874490e-07,2.079714e+27
3.924830e-07,2.167740e+27
3.975170e-07,2.266190e+27
4.025510e-07,2.378890e+27
4.075850e-07,2.502596e+27
4.126190e-07,2.635131e+27
4.176530e-07,2.783275e+27
4.226860e-07,2.941090e+27
4.277200e-07,3.119040e+27
4.327540e-07,3.312133e+27
4.377880e-07,3.518280e+27
4.428220e-07,3.744685e+27
4.478560e-07,3.989305e+27
4.528900e-07,4.246019e+27
4.579240e-07,4.529406e+27
4.629580e-07,4.834402e+27
4.679920e-07,5.157962e+27
4.730250e-07,5.513812e+27
4.780590e-07,5.904050e+27
4.830930e-07,6.342284e+27
4.881270e-07,6.827255e+27
4.931610e-07,7.376273e+27
4.981950e-07,8.000353e+27
5.032290e-07,8.718867e+27
5.082630e-07,9.550258e+27
5.132970e-07,1.051964e+28
5.183310e-07,1.165856e+28
5.233640e-07,1.298756e+28
5.283980e-07,1.454601e+28
5.334320e-07,1.638376e+28
5.384660e-07,1.853834e+28
5.435000e-07,2.108035e+28
