z_m,G_1_per_m3_s
2.815000e-07,7.602265e+26
2.865340e-07,9.333029e+26
2.915680e-07,1.132567e+27
2.966020e-07,1.343935e+27
3.016360e-07,1.560386e+27
3.066690e-07,1.767953e+27
3.117030e-07,1.953698e+27
3.167370e-07,2.113704e+27
3.217710e-07,2.239325e+27
3.268050e-07,2.325134e+27
3.318390e-07,2.374381e+27
3.368730e-07,2.388751e+27
3.419070e-07,2.372186e+27
3.469410e-07,2.332306e+27
3.519750e-07,2.272812e+27
3.570080e-07,2.200025e+27
3.620420e-07,2.124001e+27
3.670760e-07,2.046554e+27
3.721100e-07,1.976661e+27
3.771440e-07,1.916101e+27
3.821780e-07,1.870255e+27
3.872120e-07,1.841449e+27
3.922460e-07,1.827302e+27
3.972800e-07,1.832422e+27
4.023140e-07,1.853206e+27
4.073470e-07,1.892015e+27
4.123810e-07,1.941631e+27
4.174150e-07,2.004562e+27
4.224490e-07,2.079714e+27
4.274830e-07,2.167740e+27
4.325170e-07,2.266190e+27
4.375510e-07,2.378890e+27
4.425850e-07,2.502596e+27
4.476190e-07,2.635131e+27
4.526530e-07,2.783275e+27
4.576860e-07,2.941090e+27
4.627200e-07,3.119040e+27
4.677540e-07,3.312133e+27
4.727880e-07,3.518280e+27
4.778220e-07,3.744685e+27
4.828560e-07,3.989305e+27
4.878900e-07,4.246019e+27
4.929240e-07,4.529406e+27
4.979580e-07,4.834402e+27
5.029920e-07,5.157962e+27
5.080250e-07,5.513812e+27
5.130590e-07,5.904050e+27
5.180930e-07,6.342284e+27
5.231270e-07,6.827255e+27
5.281610e-07,7.376273e+27
5.331950e-07,8.000353e+27
5.382290e-07,8.718867e+27
5.432630e-07,9.550258e+27
5.482970e-07,1.051964e+28
5.533310e-07,1.165856e+28
5.583640e-07,1.298756e+28
5.633980e-07,1.454601e+28
5.684320e-07,1.638376e+28
5.734660e-07,1.853834e+28
5.785000e-07,2.108035e+28
