lambda_nm,band,n_elem,solve_s,worker,A_absorber,A_Au,A_HTL,A_TiO2,A_FTO_total,A_total,A_from_flux,R_implied,energy_residual
300.0,0,401475,4117.4,0,0.42518,0.0,0.0,-0.0,0.523334,0.948514,0.962799,0.051486,-0.014285
310.0,0,401475,4016.9,1,0.349688,0.0,0.0,0.0,0.320412,0.670101,0.679565,0.329899,-0.009464
320.0,0,401475,3937.8,0,0.563396,0.0,-0.0,-0.0,0.409997,0.973393,0.986311,0.026607,-0.012918
330.0,0,401475,3557.6,1,0.435083,0.0,-0.0,-0.0,0.257536,0.692619,0.701272,0.307381,-0.008653
340.0,0,401475,3507.4,0,0.496217,0.0,0.0,0.0,0.253058,0.749275,0.758102,0.250725,-0.008827
350.0,0,401475,3478.6,1,0.688468,0.0,-0.0,0.0,0.299662,0.98813,0.999126,0.01187,-0.010996
360.0,0,401475,3857.1,0,0.519421,0.0,-0.0,-0.0,0.197058,0.716479,0.724022,0.283521,-0.007543
370.0,0,401475,3676.8,1,0.492088,1e-06,-0.0,-0.0,0.169852,0.661942,0.668544,0.338058,-0.006602
380.0,0,401475,3719.6,0,0.656906,6e-06,0.0,0.0,0.207307,0.864218,0.872397,0.135782,-0.008178
390.0,0,401475,3841.5,1,0.767592,1.8e-05,-0.0,-0.0,0.219367,0.986977,0.99585,0.013023,-0.008873
400.0,1,294499,2102.3,0,0.626102,3.5e-05,-0.0,0.0,0.164254,0.79039,0.797125,0.20961,-0.006735
410.0,1,294499,2087.9,1,0.539802,6.8e-05,0.0,-0.0,0.132487,0.672356,0.677813,0.327644,-0.005456
420.0,1,294499,2154.7,2,0.584953,0.00015,0.0,0.0,0.136264,0.721367,0.726949,0.278633,-0.005582
430.0,1,294499,2092.5,0,0.718716,0.000322,0.0,0.0,0.158448,0.877486,0.883967,0.122514,-0.006481
440.0,1,294499,2002.1,1,0.817715,0.000543,0.0,-0.0,0.169952,0.98821,0.995184,0.01179,-0.006974
450.0,1,294499,2247.4,2,0.770971,0.000663,-0.0,-0.0,0.152044,0.923678,0.929913,0.076322,-0.006235
460.0,1,294499,2156.1,0,0.674884,0.000688,0.0,-0.0,0.128257,0.803829,0.809023,0.196171,-0.005195
470.0,1,294499,1959.7,1,0.627081,0.000726,-0.0,0.0,0.116595,0.744402,0.749012,0.255598,-0.00461
480.0,1,294499,2112.8,2,0.642312,0.000856,0.0,0.0,0.117569,0.760737,0.765255,0.239263,-0.004518
490.0,1,294499,2122.3,0,0.703308,0.001167,0.0,-0.0,0.126478,0.830953,0.83569,0.169047,-0.004738
500.0,1,294499,2415.5,1,0.77243,0.001696,0.0,0.0,0.136086,0.910212,0.915198,0.089788,-0.004986
510.0,1,294499,1999.6,2,0.808064,0.002377,0.0,0.0,0.139502,0.949942,0.954945,0.050058,-0.005003
520.0,1,294499,2174.9,0,0.801371,0.003222,-0.0,0.0,0.136406,0.940999,0.945768,0.059001,-0.004768
530.0,1,294499,2080.1,1,0.787386,0.004386,-0.0,-0.0,0.134169,0.925941,0.930459,0.074059,-0.004518
540.0,1,294499,1994.5,2,0.787735,0.006028,-0.0,0.0,0.137617,0.93138,0.935758,0.06862,-0.004379
550.0,1,294499,1892.1,0,0.750624,0.007731,-0.0,0.0,0.138167,0.896522,0.900586,0.103478,-0.004064
560.0,1,294499,1948.2,1,0.644606,0.008628,0.0,0.0,0.127995,0.781229,0.784646,0.218771,-0.003417
570.0,1,294499,2108.4,2,0.567012,0.009542,-0.0,-0.0,0.122078,0.698632,0.701582,0.301368,-0.00295
580.0,1,294499,2109.9,0,0.587594,0.012181,-0.0,-0.0,0.134578,0.734353,0.737348,0.265647,-0.002995
590.0,1,294499,2162.5,1,0.70634,0.018392,0.0,0.0,0.169324,0.894056,0.897581,0.105944,-0.003525
600.0,2,106925,216.5,0,0.765497,0.026071,0.0,0.0,0.197718,0.989287,0.992972,0.010713,-0.003686
610.0,2,106925,239.1,1,0.523756,0.023417,0.0,-0.0,0.16636,0.713533,0.716105,0.286467,-0.002572
620.0,2,106925,236.6,2,0.309895,0.018577,-0.0,0.0,0.148891,0.477363,0.479029,0.522637,-0.001666
630.0,2,106925,242.6,3,0.207882,0.018001,-0.0,0.0,0.181324,0.407206,0.408583,0.592794,-0.001377
640.0,2,106925,237.4,4,0.148089,0.022985,0.0,-0.0,0.28204,0.453113,0.454598,0.546887,-0.001485
650.0,2,106925,247.9,5,0.083418,0.03253,0.0,-0.0,0.452699,0.568647,0.570454,0.431353,-0.001806
660.0,2,106925,220.5,0,0.018635,0.032258,0.0,-0.0,0.466846,0.517739,0.519335,0.482261,-0.001595
670.0,2,106925,218.1,1,0.000472,0.02207,-0.0,-0.0,0.315158,0.3377,0.33871,0.6623,-0.00101
680.0,2,106925,187.2,2,0.0,0.016093,-0.0,-0.0,0.22074,0.236833,0.237521,0.763167,-0.000688
690.0,2,106925,215.7,3,0.0,0.014442,0.0,-0.0,0.189111,0.203553,0.204127,0.796447,-0.000574
700.0,2,106925,185.0,4,-0.0,0.016198,-0.0,-0.0,0.202307,0.218505,0.219104,0.781495,-0.000599
710.0,2,106925,207.3,5,0.0,0.022683,0.0,-0.0,0.268915,0.291598,0.292375,0.708402,-0.000777
720.0,2,106925,207.8,0,0.0,0.036847,-0.0,0.0,0.418465,0.455312,0.456492,0.544688,-0.00118
730.0,2,106925,216.2,1,0.0,0.048153,-0.0,-0.0,0.563054,0.611207,0.612748,0.388793,-0.001541
740.0,2,106925,204.8,2,0.0,0.037653,0.0,0.0,0.462445,0.500098,0.501325,0.499902,-0.001227
750.0,2,106925,175.4,3,0.0,0.022817,0.0,0.0,0.325502,0.348319,0.349151,0.651681,-0.000832
760.0,2,106925,191.8,4,0.0,0.015441,0.0,0.0,0.262617,0.278058,0.278705,0.721942,-0.000647
770.0,2,106925,206.8,5,-0.0,0.012312,-0.0,-0.0,0.247911,0.260223,0.260813,0.739777,-0.00059
780.0,2,106925,216.9,0,0.0,0.010849,-0.0,-0.0,0.263261,0.27411,0.274716,0.72589,-0.000606
790.0,2,106925,208.1,1,-0.0,0.010876,-0.0,-0.0,0.303305,0.31418,0.314857,0.68582,-0.000677
800.0,2,106925,185.8,2,0.0,0.01187,0.0,0.0,0.368288,0.380157,0.380956,0.619843,-0.000798
810.0,2,106925,193.1,3,-0.0,0.013761,0.0,-0.0,0.45805,0.471811,0.472778,0.528189,-0.000967
820.0,2,106925,220.1,4,0.0,0.015661,0.0,0.0,0.559369,0.575029,0.576179,0.424971,-0.00115
830.0,2,106925,195.5,5,0.0,0.017279,-0.0,0.0,0.632161,0.64944,0.650707,0.35056,-0.001267
840.0,2,106925,198.3,0,-0.0,0.017563,0.0,0.0,0.630485,0.648048,0.649283,0.351952,-0.001235
850.0,2,106925,199.9,1,0.0,0.016322,-0.0,-0.0,0.558858,0.57518,0.576251,0.42482,-0.00107
860.0,2,106925,197.9,2,0.0,0.013808,-0.0,-0.0,0.466353,0.480162,0.481035,0.519838,-0.000873
870.0,2,106925,216.3,3,0.0,0.011862,0.0,-0.0,0.389353,0.401215,0.401928,0.598785,-0.000713
880.0,2,106925,197.7,4,0.0,0.010606,-0.0,-0.0,0.338009,0.348615,0.349221,0.651385,-0.000605
890.0,2,106925,214.7,5,-0.0,0.009923,-0.0,-0.0,0.310844,0.320767,0.321312,0.679233,-0.000545
900.0,2,106925,205.9,0,-0.0,0.009685,-0.0,0.0,0.304543,0.314228,0.31475,0.685772,-0.000522
