lambda_nm,band,n_elem,solve_s,worker,A_absorber,A_Au,A_HTL,A_TiO2,A_FTO_total,A_total,A_from_flux,R_implied,energy_residual
300.0,0,329211,1861.0,0,0.454077,2.4e-05,-0.0,0.0,0.439371,0.893472,0.906936,0.106528,-0.013464
310.0,0,329211,1857.4,1,0.451019,8.5e-05,-0.0,0.0,0.327254,0.778358,0.789357,0.221642,-0.011
320.0,0,329211,1858.9,0,0.582983,0.000372,0.0,0.0,0.336526,0.919882,0.932097,0.080118,-0.012215
330.0,0,329211,1872.9,1,0.539627,0.001057,-0.0,0.0,0.256479,0.797163,0.807128,0.202837,-0.009965
340.0,0,329211,1835.2,0,0.570891,0.002981,0.0,0.0,0.235461,0.809333,0.818874,0.190667,-0.009541
350.0,0,329211,1943.2,1,0.692591,0.008393,0.0,0.0,0.251207,0.95219,0.962792,0.04781,-0.010603
360.0,0,329211,1967.2,0,0.607936,0.015496,-0.0,-0.0,0.197501,0.820934,0.829582,0.179066,-0.008648
370.0,0,329211,1832.2,1,0.561784,0.027762,0.0,0.0,0.168613,0.75816,0.765727,0.24184,-0.007567
380.0,0,329211,1885.8,0,0.608257,0.052561,-0.0,0.0,0.175459,0.836278,0.844196,0.163722,-0.007919
390.0,0,329211,1819.5,1,0.673371,0.095643,-0.0,-0.0,0.201388,0.970402,0.979131,0.029598,-0.008729
400.0,1,129192,337.3,0,0.565832,0.123253,-0.0,-0.0,0.179243,0.868328,0.87572,0.131672,-0.007392
410.0,1,129192,330.5,1,0.419816,0.133489,-0.0,-0.0,0.133376,0.686682,0.692249,0.313318,-0.005567
420.0,1,129192,316.1,2,0.475888,0.203864,-0.0,0.0,0.138676,0.818429,0.824755,0.181571,-0.006326
430.0,1,129192,442.7,0,0.465528,0.255133,-0.0,0.0,0.132847,0.853508,0.859806,0.146492,-0.006297
440.0,1,129192,456.0,1,0.367965,0.25997,-0.0,0.0,0.140635,0.768571,0.773989,0.231429,-0.005418
450.0,1,129192,437.6,2,0.381707,0.345048,-0.0,0.0,0.221908,0.948663,0.955059,0.051337,-0.006397
460.0,1,129192,270.1,0,0.255414,0.299243,-0.0,0.0,0.215771,0.770428,0.775401,0.229572,-0.004973
470.0,1,129192,299.6,1,0.122737,0.18453,0.0,-0.0,0.139845,0.447112,0.449878,0.552888,-0.002766
480.0,1,129192,289.9,2,0.088913,0.165507,0.0,-0.0,0.125997,0.380416,0.382673,0.619584,-0.002257
490.0,1,129192,286.8,0,0.113223,0.244597,0.0,0.0,0.174693,0.532513,0.535546,0.467487,-0.003033
500.0,1,129192,249.7,1,0.195981,0.422707,-0.0,-0.0,0.270109,0.888797,0.89366,0.111203,-0.004863
510.0,1,129192,238.7,2,0.122238,0.246795,-0.0,0.0,0.161513,0.530546,0.533337,0.469454,-0.002791
520.0,1,129192,273.1,0,0.067074,0.137462,0.0,-0.0,0.13526,0.339796,0.341516,0.660204,-0.00172
530.0,1,129192,266.8,1,0.054858,0.132653,0.0,-0.0,0.227279,0.41479,0.416811,0.58521,-0.002021
540.0,1,129192,258.8,2,0.05694,0.148484,0.0,-0.0,0.404257,0.609681,0.612544,0.390319,-0.002863
550.0,1,129192,289.5,0,0.030508,0.085861,0.0,-0.0,0.33401,0.450379,0.452418,0.549621,-0.002039
560.0,1,129192,250.9,1,0.014812,0.04052,-0.0,-0.0,0.206689,0.26202,0.263165,0.73798,-0.001145
570.0,1,129192,271.8,2,0.005754,0.025088,-0.0,0.0,0.157534,0.188376,0.189171,0.811624,-0.000794
580.0,1,129192,307.0,0,0.001234,0.021443,-0.0,0.0,0.154381,0.177057,0.177778,0.822943,-0.000721
590.0,1,129192,266.2,1,-0.0,0.024162,-0.0,-0.0,0.186137,0.210299,0.211127,0.789701,-0.000828
600.0,2,103143,353.2,0,-0.0,0.035477,0.0,-0.0,0.269167,0.304645,0.305779,0.695355,-0.001134
610.0,2,103143,359.2,1,-0.0,0.059697,-0.0,-0.0,0.414405,0.474102,0.47581,0.525898,-0.001708
620.0,2,103143,359.0,2,0.0,0.071333,-0.0,-0.0,0.430752,0.502085,0.503836,0.497915,-0.001751
630.0,2,103143,255.6,3,-0.0,0.049435,0.0,0.0,0.269422,0.318857,0.319934,0.681143,-0.001077
640.0,2,103143,376.2,4,0.0,0.03442,0.0,0.0,0.186095,0.220515,0.221237,0.779485,-0.000722
650.0,2,103143,381.7,5,0.0,0.029572,-0.0,0.0,0.182085,0.211657,0.212329,0.788343,-0.000672
660.0,2,103143,292.4,0,-0.0,0.031956,-0.0,-0.0,0.245225,0.277181,0.278035,0.722819,-0.000854
670.0,2,103143,354.9,1,-0.0,0.0392,-0.0,-0.0,0.384642,0.423842,0.425109,0.576158,-0.001267
680.0,2,103143,287.6,2,-0.0,0.042809,-0.0,-0.0,0.532692,0.5755,0.57717,0.4245,-0.00167
690.0,2,103143,348.0,3,-0.0,0.031343,0.0,0.0,0.4868,0.518142,0.519603,0.481858,-0.00146
700.0,2,103143,281.6,4,-0.0,0.018777,-0.0,0.0,0.35523,0.374008,0.375032,0.625992,-0.001024
710.0,2,103143,264.4,5,0.0,0.012069,0.0,-0.0,0.26988,0.281949,0.2827,0.718051,-0.000751
720.0,2,103143,260.9,0,0.0,0.008921,-0.0,0.0,0.229278,0.238199,0.238816,0.761801,-0.000617
730.0,2,103143,268.9,1,-0.0,0.007253,-0.0,-0.0,0.21676,0.224013,0.224577,0.775987,-0.000564
740.0,2,103143,368.4,2,-0.0,0.00688,-0.0,-0.0,0.22399,0.23087,0.231436,0.76913,-0.000566
750.0,2,103143,285.2,3,-0.0,0.006947,-0.0,0.0,0.248717,0.255664,0.256274,0.744336,-0.00061
