lambda_nm,band,n_elem,solve_s,worker,A_absorber,A_Au,A_HTL,A_TiO2,A_FTO_total,A_total,A_from_flux,R_implied,energy_residual
300.0,0,0,0,tmm,0.453969,0.000023,0.000000,-0.000000,0.439535,0.893527,0.893527,0.106473,0.0
310.0,0,0,0,tmm,0.451020,0.000083,-0.000000,-0.000000,0.327393,0.778495,0.778495,0.221505,0.0
320.0,0,0,0,tmm,0.582877,0.000366,0.000000,-0.000000,0.336580,0.919824,0.919824,0.080176,0.0
330.0,0,0,0,tmm,0.539751,0.001048,-0.000000,0.000000,0.256617,0.797417,0.797417,0.202583,0.0
340.0,0,0,0,tmm,0.570760,0.002989,0.000000,0.000000,0.235503,0.809252,0.809252,0.190748,0.0
350.0,0,0,0,tmm,0.692401,0.008552,0.000000,0.000000,0.251169,0.952123,0.952123,0.047877,0.0
360.0,0,0,0,tmm,0.608345,0.016013,-0.000000,0.000000,0.197538,0.821896,0.821896,0.178104,0.0
370.0,0,0,0,tmm,0.560860,0.028779,0.000000,-0.000000,0.168598,0.758236,0.758236,0.241764,0.0
380.0,0,0,0,tmm,0.603555,0.054340,-0.000000,0.000000,0.175706,0.833601,0.833601,0.166399,0.0
390.0,0,0,0,tmm,0.671045,0.099581,-0.000000,-0.000000,0.202678,0.973304,0.973304,0.026696,0.0
400.0,1,0,0,tmm,0.560059,0.127731,0.000000,-0.000000,0.176893,0.864684,0.864684,0.135316,0.0
410.0,1,0,0,tmm,0.425768,0.142819,-0.000000,0.000000,0.133405,0.701992,0.701992,0.298008,0.0
420.0,1,0,0,tmm,0.470508,0.216329,0.000000,-0.000000,0.137410,0.824248,0.824248,0.175752,0.0
430.0,1,0,0,tmm,0.437209,0.265072,0.000000,0.000000,0.131374,0.833655,0.833655,0.166345,0.0
440.0,1,0,0,tmm,0.355827,0.289797,-0.000000,0.000000,0.145054,0.790677,0.790677,0.209323,0.0
450.0,1,0,0,tmm,0.360079,0.394799,0.000000,0.000000,0.216111,0.970988,0.970988,0.029012,0.0
460.0,1,0,0,tmm,0.236122,0.357615,0.000000,0.000000,0.198843,0.792580,0.792580,0.207420,0.0
470.0,1,0,0,tmm,0.120634,0.254284,-0.000000,-0.000000,0.134074,0.508993,0.508993,0.491007,0.0
480.0,1,0,0,tmm,0.087068,0.253951,-0.000000,0.000000,0.121509,0.462528,0.462528,0.537472,0.0
490.0,1,0,0,tmm,0.096059,0.370924,-0.000000,-0.000000,0.155238,0.622221,0.622221,0.377779,0.0
500.0,1,0,0,tmm,0.140053,0.593588,-0.000000,0.000000,0.218377,0.952018,0.952018,0.047982,0.0
510.0,1,0,0,tmm,0.109366,0.439759,0.000000,0.000000,0.158708,0.707833,0.707833,0.292167,0.0
520.0,1,0,0,tmm,0.063362,0.249137,-0.000000,0.000000,0.126135,0.438634,0.438634,0.561366,0.0
530.0,1,0,0,tmm,0.050565,0.223012,-0.000000,-0.000000,0.199925,0.473502,0.473502,0.526498,0.0
540.0,1,0,0,tmm,0.053987,0.244653,0.000000,0.000000,0.368284,0.666924,0.666924,0.333076,0.0
550.0,1,0,0,tmm,0.031394,0.147318,-0.000000,-0.000000,0.334583,0.513296,0.513296,0.486704,0.0
560.0,1,0,0,tmm,0.015257,0.067104,-0.000000,-0.000000,0.209731,0.292091,0.292091,0.707909,0.0
570.0,1,0,0,tmm,0.005794,0.039438,0.000000,0.000000,0.158133,0.203365,0.203365,0.796635,0.0
580.0,1,0,0,tmm,0.001214,0.032140,-0.000000,-0.000000,0.153133,0.186487,0.186487,0.813513,0.0
590.0,1,0,0,tmm,-0.000000,0.034676,0.000000,-0.000000,0.182360,0.217036,0.217036,0.782964,0.0
600.0,2,0,0,tmm,0.000000,0.048729,-0.000000,-0.000000,0.259770,0.308498,0.308498,0.691502,0.0
610.0,2,0,0,tmm,0.000000,0.079921,0.000000,-0.000000,0.399012,0.478933,0.478933,0.521067,0.0
620.0,2,0,0,tmm,-0.000000,0.098374,0.000000,-0.000000,0.433842,0.532216,0.532216,0.467784,0.0
630.0,2,0,0,tmm,0.000000,0.069751,0.000000,-0.000000,0.279052,0.348802,0.348802,0.651198,0.0
640.0,2,0,0,tmm,0.000000,0.047923,0.000000,-0.000000,0.188867,0.236791,0.236791,0.763209,0.0
