lambda_nm,band,n_elem,solve_s,worker,A_absorber,A_Au,A_HTL,A_TiO2,A_FTO_total,A_total,A_from_flux,R_implied,energy_residual
300.0,0,401475,3632.6,0,0.45029,0.0,-0.0,0.0,0.47188,0.92217,0.936058,0.07783,-0.013888
310.0,0,401475,3809.1,1,0.404368,0.0,0.0,0.0,0.321382,0.72575,0.736,0.27425,-0.01025
320.0,0,401475,3972.9,0,0.578661,1e-06,0.0,-0.0,0.372341,0.951003,0.963624,0.048997,-0.012621
330.0,0,401475,3756.2,1,0.484005,1e-06,0.0,-0.0,0.258719,0.742726,0.752005,0.257274,-0.009279
340.0,0,401475,3769.1,0,0.513864,2e-06,-0.0,-0.0,0.242465,0.756331,0.765242,0.243669,-0.00891
350.0,0,401475,3781.0,1,0.697986,4e-06,0.0,-0.0,0.289428,0.987418,0.998406,0.012582,-0.010988
360.0,0,401475,3827.7,0,0.546768,5e-06,0.0,-0.0,0.201934,0.748707,0.756589,0.251293,-0.007882
370.0,0,401475,3922.5,1,0.487225,6e-06,0.0,-0.0,0.168055,0.655286,0.661822,0.344714,-0.006536
380.0,0,401475,3920.6,0,0.635299,1.1e-05,0.0,-0.0,0.203707,0.839018,0.846958,0.160982,-0.00794
390.0,0,401475,3968.5,1,0.76896,2.4e-05,0.0,-0.0,0.225278,0.994262,1.003201,0.005738,-0.008939
400.0,1,299427,2024.1,0,0.627047,3.2e-05,0.0,-0.0,0.169882,0.796961,0.803751,0.203039,-0.006791
410.0,1,299427,2132.5,1,0.52137,4e-05,0.0,-0.0,0.133279,0.654688,0.660001,0.345312,-0.005313
420.0,1,299427,1923.4,2,0.554079,5.1e-05,0.0,-0.0,0.136054,0.690183,0.695524,0.309817,-0.00534
430.0,1,299427,2128.0,0,0.707195,7.9e-05,0.0,-0.0,0.162407,0.869682,0.876105,0.130318,-0.006423
440.0,1,299427,2037.9,1,0.817035,0.000304,0.0,-0.0,0.173569,0.990908,0.9979,0.009092,-0.006993
450.0,1,299427,2028.7,2,0.7703,0.000421,0.0,-0.0,0.155158,0.925878,0.932128,0.074122,-0.006249
460.0,1,299427,2167.4,0,0.668258,0.000463,-0.0,0.0,0.129608,0.798329,0.803488,0.201671,-0.005159
470.0,1,299427,1990.5,1,0.613758,0.000495,-0.0,0.0,0.116621,0.730873,0.735399,0.269127,-0.004526
480.0,1,299427,2111.0,2,0.621217,0.000564,0.0,0.0,0.116725,0.738506,0.742893,0.261494,-0.004386
490.0,1,299427,2225.5,0,0.677127,0.000616,0.0,-0.0,0.125939,0.803683,0.808265,0.196317,-0.004582
500.0,1,299427,2300.9,1,0.755691,0.000619,0.0,-0.0,0.138752,0.895062,0.899964,0.104938,-0.004902
510.0,1,299427,2335.2,2,0.815521,0.000572,-0.0,0.0,0.147554,0.963646,0.968721,0.036354,-0.005075
520.0,1,299427,2260.3,0,0.822641,0.000482,-0.0,-0.0,0.146849,0.969972,0.974886,0.030028,-0.004915
530.0,1,299427,2283.2,1,0.783447,0.000393,-0.0,0.0,0.138705,0.922545,0.927045,0.077455,-0.004501
540.0,1,299427,2165.2,2,0.73238,0.000316,0.0,-0.0,0.129551,0.862247,0.8663,0.137753,-0.004053
550.0,1,299427,2222.4,0,0.696632,0.000269,0.0,-0.0,0.123982,0.820884,0.824604,0.179116,-0.003721
560.0,1,299427,2033.6,1,0.685744,0.000253,-0.0,0.0,0.123372,0.809368,0.812907,0.190632,-0.00354
570.0,1,299427,2080.0,2,0.697671,0.000272,0.0,0.0,0.127019,0.824962,0.828445,0.175038,-0.003483
580.0,1,299427,2397.8,0,0.720892,0.000359,-0.0,-0.0,0.132905,0.854156,0.85764,0.145844,-0.003484
590.0,1,299427,2183.8,1,0.743643,0.000536,0.0,-0.0,0.139011,0.883191,0.886672,0.116809,-0.003482
600.0,2,108911,225.4,0,0.761384,0.000877,0.0,0.0,0.144714,0.906975,0.910346,0.093025,-0.003371
610.0,2,108911,224.2,1,0.776803,0.001444,-0.0,-0.0,0.150294,0.92854,0.93188,0.07146,-0.003339
620.0,2,108911,227.5,2,0.781211,0.002275,-0.0,-0.0,0.153417,0.936903,0.940165,0.063097,-0.003262
630.0,2,108911,249.0,3,0.745765,0.004211,0.0,0.0,0.149723,0.899699,0.902734,0.100301,-0.003034
640.0,2,108911,250.1,4,0.672043,0.005981,-0.0,0.0,0.144825,0.82285,0.825539,0.17715,-0.002689
650.0,2,108911,226.9,5,0.632352,0.008063,0.0,-0.0,0.160815,0.80123,0.803769,0.19877,-0.002539
660.0,2,108911,201.2,0,0.646836,0.01174,0.0,-0.0,0.213672,0.872248,0.87493,0.127752,-0.002681
670.0,2,108911,227.0,1,0.642293,0.016787,0.0,0.0,0.294636,0.953716,0.956561,0.046284,-0.002845
680.0,2,108911,230.9,2,0.47865,0.018423,-0.0,0.0,0.31531,0.812382,0.814735,0.187618,-0.002353
690.0,2,108911,195.2,3,0.283761,0.015251,0.0,0.0,0.255674,0.554686,0.556247,0.445314,-0.001561
700.0,2,108911,189.4,4,0.166057,0.012645,-0.0,0.0,0.204677,0.383378,0.384427,0.616622,-0.001048
710.0,2,108911,239.3,5,0.108606,0.012346,0.0,0.0,0.188932,0.309884,0.310707,0.690116,-0.000824
720.0,2,108911,207.1,0,0.102618,0.014187,-0.0,-0.0,0.202724,0.319529,0.320354,0.680471,-0.000826
730.0,2,108911,177.9,1,0.124133,0.018869,-0.0,-0.0,0.255513,0.398515,0.399517,0.601485,-0.001002
740.0,2,108911,203.0,2,0.168878,0.029389,0.0,0.0,0.361468,0.559735,0.561105,0.440265,-0.00137
750.0,2,108911,211.5,3,0.211631,0.040524,0.0,-0.0,0.480265,0.73242,0.734165,0.26758,-0.001745
760.0,2,108911,190.7,4,0.195884,0.037147,0.0,-0.0,0.442694,0.675724,0.677293,0.324276,-0.001568
770.0,2,108911,225.1,5,0.136556,0.025781,0.0,-0.0,0.328666,0.491003,0.492113,0.508997,-0.00111
780.0,2,108911,238.4,0,0.098336,0.017779,-0.0,-0.0,0.266823,0.382937,0.383781,0.617063,-0.000844
790.0,2,108911,200.2,1,0.079904,0.014041,0.0,0.0,0.250828,0.344773,0.345514,0.655227,-0.000741
800.0,2,108911,237.2,2,0.071231,0.012226,-0.0,-0.0,0.266163,0.34962,0.350352,0.65038,-0.000733
810.0,2,108911,209.5,3,0.065795,0.011983,-0.0,0.0,0.308215,0.385993,0.386782,0.614007,-0.000789
820.0,2,108911,223.2,4,0.072204,0.012272,-0.0,-0.0,0.372761,0.457237,0.458149,0.542763,-0.000912
830.0,2,108911,204.8,5,0.082859,0.013434,0.0,-0.0,0.456997,0.553291,0.554368,0.446709,-0.001077
840.0,2,108911,221.0,0,0.09564,0.015144,0.0,-0.0,0.548445,0.659229,0.660482,0.340771,-0.001253
850.0,2,108911,218.2,1,0.106057,0.016616,-0.0,-0.0,0.615143,0.737816,0.739185,0.262184,-0.00137
860.0,2,108911,210.0,2,0.105691,0.015867,-0.0,0.0,0.609394,0.730951,0.732277,0.269049,-0.001326
870.0,2,108911,200.1,3,0.096565,0.014169,0.0,0.0,0.548116,0.65885,0.660018,0.34115,-0.001168
880.0,2,108911,229.2,4,0.088737,0.012174,-0.0,0.0,0.467104,0.568016,0.569,0.431984,-0.000984
890.0,2,108911,239.8,5,0.0,0.011111,0.0,0.0,0.415163,0.426274,0.426996,0.573726,-0.000722
900.0,2,108911,250.7,0,-0.0,0.009695,-0.0,-0.0,0.362863,0.372558,0.373175,0.627442,-0.000617
