lambda_nm,band,n_elem,solve_s,worker,A_absorber,A_Au,A_HTL,A_TiO2,A_FTO_total,A_cone,A_total,A_from_flux,R_implied,energy_residual
300.0,0,418497,1640.6,0,0.380633,1e-06,0.0,0.0,0.57308,0.083744,0.953714,0.967939,0.046286,-0.014225
310.0,0,418497,1646.6,1,0.454281,2e-06,-0.0,0.0,0.532387,0.066649,0.98667,1.000206,0.01333,-0.013536
320.0,0,418497,1562.1,0,0.461703,4e-06,-0.0,0.0,0.47625,0.065077,0.937957,0.950199,0.062043,-0.012242
330.0,0,418497,1669.6,1,0.546347,8e-06,-0.0,-0.0,0.436138,0.060036,0.982493,0.994592,0.017507,-0.012098
340.0,0,418497,1676.8,0,0.523577,9e-06,0.0,-0.0,0.4125,0.058024,0.936085,0.947064,0.063915,-0.010979
350.0,0,418497,1590.8,1,0.548201,7e-06,0.0,-0.0,0.389594,0.055544,0.937802,0.94792,0.062198,-0.010118
360.0,0,418497,1546.8,0,0.609458,8e-06,-0.0,0.0,0.365444,0.042829,0.97491,0.984875,0.02509,-0.009965
370.0,0,418497,1639.1,1,0.573012,5e-06,0.0,-0.0,0.348572,0.058022,0.921589,0.930477,0.078411,-0.008887
380.0,0,418497,2219.8,0,0.645643,1e-05,0.0,0.0,0.329928,0.049085,0.975581,0.984522,0.024419,-0.008941
390.0,0,418497,2227.7,1,0.685908,9e-06,-0.0,-0.0,0.284398,0.027616,0.970316,0.978768,0.029684,-0.008452
400.0,1,347726,2553.9,0,0.638394,6e-06,0.0,-0.0,0.297965,0.047535,0.936365,0.944093,0.063635,-0.007727
410.0,1,347726,2566.8,1,0.67927,1.3e-05,0.0,-0.0,0.282854,0.044575,0.962138,0.969711,0.037862,-0.007573
420.0,1,347726,2557.3,2,0.702538,1.6e-05,-0.0,0.0,0.242391,0.02494,0.944945,0.95204,0.055055,-0.007095
430.0,1,347726,2182.6,0,0.701772,9e-06,0.0,-0.0,0.241374,0.023908,0.943156,0.949909,0.056844,-0.006753
440.0,1,347726,2110.5,1,0.691879,1.3e-05,-0.0,0.0,0.230411,0.032003,0.922303,0.928613,0.077697,-0.006309
450.0,1,347726,2029.6,2,0.724764,2.1e-05,0.0,-0.0,0.206035,0.027224,0.93082,0.936914,0.06918,-0.006095
460.0,1,347726,2073.3,0,0.764386,2.3e-05,0.0,0.0,0.205827,0.020416,0.970236,0.976318,0.029764,-0.006082
470.0,1,347726,2192.7,1,0.764493,2.1e-05,0.0,0.0,0.216309,0.019437,0.980824,0.986713,0.019176,-0.005889
480.0,1,347726,2208.4,2,0.762472,2.4e-05,-0.0,0.0,0.215021,0.022811,0.977518,0.983146,0.022482,-0.005629
490.0,1,347726,2303.6,0,0.755379,3.1e-05,-0.0,-0.0,0.205302,0.022187,0.960712,0.966023,0.039288,-0.005311
500.0,1,347726,2315.3,1,0.759244,3.4e-05,-0.0,0.0,0.193504,0.023394,0.952783,0.957844,0.047217,-0.005061
510.0,1,347726,2306.6,2,0.772733,3.9e-05,-0.0,0.0,0.187653,0.023901,0.960424,0.96533,0.039576,-0.004905
520.0,1,347726,2137.5,0,0.789978,4.3e-05,0.0,-0.0,0.184656,0.021233,0.974678,0.979467,0.025322,-0.00479
530.0,1,347726,2182.2,1,0.799005,5.1e-05,0.0,-0.0,0.189739,0.020833,0.988794,0.993473,0.011206,-0.004678
540.0,1,347726,2154.5,2,0.799951,6.7e-05,-0.0,0.0,0.196301,0.022528,0.996319,1.000861,0.003681,-0.004542
550.0,1,347726,1593.3,0,0.797599,9.3e-05,-0.0,-0.0,0.201351,0.025503,0.999044,1.003435,0.000956,-0.004392
560.0,1,347726,1571.7,1,0.798572,0.000135,0.0,-0.0,0.200043,0.026932,0.998749,1.002985,0.001251,-0.004236
570.0,1,347726,1626.1,2,0.799134,0.000192,-0.0,-0.0,0.195234,0.025449,0.99456,0.998633,0.00544,-0.004073
580.0,1,347726,1365.1,0,0.795484,0.00027,0.0,-0.0,0.192309,0.023133,0.988063,0.991971,0.011937,-0.003908
590.0,1,347726,1377.9,1,0.787708,0.000366,0.0,-0.0,0.193866,0.021713,0.981941,0.985695,0.018059,-0.003754
600.0,2,131634,136.9,2,0.77922,0.000489,0.0,0.0,0.199174,0.022382,0.978883,0.982676,0.021117,-0.003793
610.0,2,131634,138.1,0,0.779323,0.000649,0.0,-0.0,0.20151,0.024152,0.981482,0.985162,0.018518,-0.00368
620.0,2,131634,139.4,1,0.787227,0.000881,0.0,-0.0,0.200455,0.02469,0.988563,0.992152,0.011437,-0.003589
630.0,2,131634,152.3,2,0.790472,0.001183,-0.0,-0.0,0.203661,0.024234,0.995316,0.998816,0.004684,-0.0035
640.0,2,131634,138.5,0,0.778289,0.001592,0.0,-0.0,0.217104,0.024031,0.996984,1.000382,0.003016,-0.003398
