lambda_nm,band,n_elem,solve_s,worker,A_absorber,A_Au,A_HTL,A_TiO2,A_FTO_total,A_total,A_from_flux,R_implied,energy_residual
300.0,0,401475,3126.7,0,0.446012,5e-06,0.0,0.0,0.459517,0.905533,0.919171,0.094467,-0.013638
310.0,0,401475,3410.9,1,0.416698,7e-06,0.0,0.0,0.323516,0.740221,0.750676,0.259779,-0.010455
320.0,0,401475,3196.9,0,0.568286,1.9e-05,-0.0,-0.0,0.357981,0.926286,0.938579,0.073714,-0.012293
330.0,0,401475,3273.7,1,0.509768,2.3e-05,-0.0,-0.0,0.269141,0.778932,0.788663,0.221068,-0.009731
340.0,0,401475,3137.3,0,0.490439,2.2e-05,-0.0,-0.0,0.232947,0.723408,0.73193,0.276592,-0.008523
350.0,0,401475,3370.1,1,0.689938,2.7e-05,-0.0,-0.0,0.294808,0.984774,0.995732,0.015226,-0.010959
360.0,0,401475,4228.1,0,0.555615,1.9e-05,0.0,-0.0,0.214847,0.77048,0.778591,0.22952,-0.008111
370.0,0,401475,4202.4,1,0.457582,1.5e-05,-0.0,-0.0,0.166906,0.624503,0.630732,0.375497,-0.006229
380.0,0,401475,3643.6,0,0.579358,1.7e-05,-0.0,0.0,0.201302,0.780677,0.788064,0.219323,-0.007388
390.0,0,401475,3542.3,1,0.756175,2.4e-05,-0.0,0.0,0.243726,0.999925,1.008914,7.5e-05,-0.008989
400.0,1,328927,1987.2,0,0.61164,2e-05,0.0,-0.0,0.183887,0.795547,0.802326,0.204453,-0.006779
410.0,1,328927,2002.8,1,0.475297,1.6e-05,0.0,0.0,0.135826,0.611139,0.616099,0.388861,-0.004959
420.0,1,328927,1996.0,2,0.494647,1.7e-05,0.0,-0.0,0.136064,0.630729,0.635609,0.369271,-0.00488
430.0,1,328927,1896.9,0,0.645053,2.3e-05,0.0,-0.0,0.16831,0.813386,0.819394,0.186614,-0.006007
440.0,1,328927,1911.1,1,0.799995,3e-05,0.0,-0.0,0.194379,0.994404,1.001422,0.005596,-0.007017
450.0,1,328927,1962.6,2,0.743813,2.9e-05,0.0,0.0,0.168124,0.911967,0.918122,0.088033,-0.006155
460.0,1,328927,1922.1,0,0.615748,2.7e-05,0.0,0.0,0.131885,0.747659,0.752491,0.252341,-0.004831
470.0,1,328927,1841.7,1,0.558541,2.8e-05,-0.0,0.0,0.115746,0.674315,0.67849,0.325685,-0.004176
480.0,1,328927,1762.9,2,0.578574,3.2e-05,0.0,0.0,0.117198,0.695804,0.699937,0.304196,-0.004133
490.0,1,328927,1886.9,0,0.658261,3.9e-05,-0.0,-0.0,0.130256,0.788556,0.793051,0.211444,-0.004496
500.0,1,328927,1996.6,1,0.762424,4.5e-05,0.0,-0.0,0.146638,0.909107,0.914086,0.090893,-0.004979
510.0,1,328927,2322.6,2,0.827479,4.8e-05,0.0,0.0,0.154265,0.981792,0.986962,0.018208,-0.00517
520.0,1,328927,1945.5,0,0.816038,5.1e-05,0.0,-0.0,0.148067,0.964156,0.969041,0.035844,-0.004885
530.0,1,328927,1864.9,1,0.762549,5.6e-05,-0.0,0.0,0.135968,0.898574,0.902958,0.101426,-0.004384
540.0,1,328927,1727.6,2,0.714173,6.8e-05,-0.0,-0.0,0.126567,0.840809,0.844761,0.159191,-0.003953
550.0,1,328927,1921.2,0,0.689314,8.9e-05,0.0,-0.0,0.12259,0.811993,0.815673,0.188007,-0.003681
560.0,1,328927,2139.8,1,0.687509,0.000124,0.0,0.0,0.123442,0.811075,0.814622,0.188925,-0.003547
570.0,1,328927,1864.0,2,0.701247,0.000177,-0.0,0.0,0.127529,0.828953,0.832453,0.171047,-0.0035
580.0,1,328927,2274.9,0,0.722911,0.000254,0.0,-0.0,0.133366,0.856531,0.860024,0.143469,-0.003493
590.0,1,328927,2384.1,1,0.746251,0.000358,0.0,-0.0,0.139746,0.886355,0.889849,0.113645,-0.003494
600.0,2,112379,205.1,2,0.766579,0.000495,-0.0,-0.0,0.145664,0.912738,0.91613,0.087262,-0.003392
610.0,2,112379,191.3,0,0.778743,0.000662,0.0,-0.0,0.150156,0.929561,0.932904,0.070439,-0.003343
620.0,2,112379,261.5,1,0.778718,0.000875,-0.0,-0.0,0.152438,0.932031,0.935276,0.067969,-0.003245
630.0,2,112379,190.1,2,0.766718,0.001135,0.0,0.0,0.152706,0.920559,0.923663,0.079441,-0.003105
640.0,2,112379,217.9,0,0.749084,0.001483,-0.0,0.0,0.152597,0.903164,0.906116,0.096836,-0.002952
650.0,2,112379,258.4,1,0.735387,0.002099,-0.0,-0.0,0.154891,0.892377,0.895205,0.107623,-0.002828
660.0,2,112379,197.8,2,0.745095,0.003025,-0.0,-0.0,0.16542,0.913539,0.916347,0.086461,-0.002808
670.0,2,112379,240.4,0,0.775191,0.003804,-0.0,0.0,0.182313,0.961308,0.964176,0.038692,-0.002868
680.0,2,112379,229.8,1,0.774333,0.004477,0.0,-0.0,0.192494,0.971303,0.974117,0.028697,-0.002814
690.0,2,112379,214.8,2,0.716428,0.004949,-0.0,0.0,0.188856,0.910234,0.912795,0.089766,-0.002561
700.0,2,112379,240.9,0,0.626749,0.005175,0.0,-0.0,0.175564,0.807488,0.809696,0.192512,-0.002208
710.0,2,112379,228.4,1,0.557375,0.005491,0.0,-0.0,0.16563,0.728496,0.730432,0.271504,-0.001936
720.0,2,112379,191.3,2,0.53564,0.006235,-0.0,0.0,0.167256,0.70913,0.710963,0.29087,-0.001833
730.0,2,112379,220.1,0,0.567548,0.007436,0.0,0.0,0.183261,0.758245,0.760152,0.241755,-0.001907
740.0,2,112379,231.2,1,0.643637,0.009652,0.0,0.0,0.211343,0.864631,0.866748,0.135369,-0.002116
750.0,2,112379,172.7,2,0.722454,0.011716,0.0,-0.0,0.239954,0.974125,0.976446,0.025875,-0.002321
760.0,2,112379,213.0,0,0.727039,0.012667,-0.0,0.0,0.247833,0.98754,0.989832,0.01246,-0.002292
770.0,2,112379,189.9,1,0.641645,0.012046,-0.0,-0.0,0.232976,0.886666,0.888671,0.113334,-0.002005
780.0,2,112379,223.5,2,0.533689,0.010272,-0.0,0.0,0.215567,0.759529,0.761203,0.240471,-0.001674
790.0,2,112379,163.6,0,0.452252,0.009057,0.0,-0.0,0.21101,0.672319,0.673763,0.327681,-0.001444
800.0,2,112379,222.5,1,0.406031,0.008401,-0.0,0.0,0.221933,0.636366,0.637699,0.363634,-0.001333
810.0,2,112379,260.0,2,0.38812,0.008281,0.0,-0.0,0.24803,0.644432,0.645749,0.355568,-0.001317
820.0,2,112379,178.0,0,0.389807,0.008389,0.0,0.0,0.289208,0.687405,0.688776,0.312595,-0.001371
830.0,2,112379,242.4,1,0.398563,0.009063,-0.0,-0.0,0.341778,0.749404,0.750863,0.250596,-0.001459
840.0,2,112379,204.5,2,0.413338,0.010146,0.0,-0.0,0.403452,0.826936,0.828508,0.173064,-0.001572
850.0,2,112379,206.5,0,0.413336,0.011442,0.0,-0.0,0.462012,0.886789,0.888436,0.113211,-0.001646
860.0,2,112379,235.5,1,0.369165,0.012162,-0.0,-0.0,0.505213,0.88654,0.888148,0.11346,-0.001608
870.0,2,112379,175.7,2,0.27174,0.012533,-0.0,0.0,0.516301,0.800574,0.801993,0.199426,-0.001419
880.0,2,112379,190.5,0,0.136911,0.012257,0.0,0.0,0.488969,0.638137,0.639243,0.361863,-0.001106
890.0,2,112379,201.5,1,0.049515,0.011139,0.0,-0.0,0.4347,0.495355,0.496194,0.504645,-0.000839
900.0,2,112379,169.3,2,-0.0,0.009832,0.0,-0.0,0.376683,0.386515,0.387155,0.613485,-0.00064
